  0.0000000E+00  9.3047270E+00  6.4801293E-03  3.7709299E-02  2.2586535E-02  2.0000000E+00
  5.4651525E-02  9.2968322E+00  6.4775142E-03  3.7658150E-02  2.2562212E-02  1.9998586E+00
  1.0930305E-01  9.2732241E+00  6.4696855E-03  3.7505320E-02  2.2489523E-02  1.9994350E+00
  1.6395458E-01  9.2341154E+00  6.4566882E-03  3.7252553E-02  2.2369250E-02  1.9987299E+00
  2.1860610E-01  9.1798581E+00  6.4385971E-03  3.6902722E-02  2.2202687E-02  1.9977445E+00
  2.7325763E-01  9.1109347E+00  6.4155156E-03  3.6459747E-02  2.1991598E-02  1.9964805E+00
  3.2790915E-01  9.0279481E+00  6.3875735E-03  3.5928503E-02  2.1738179E-02  1.9949400E+00
  3.8256068E-01  8.9316096E+00  6.3549254E-03  3.5314704E-02  2.1445008E-02  1.9931258E+00
  4.3721220E-01  8.8227247E+00  6.3177480E-03  3.4624771E-02  2.1114981E-02  1.9910410E+00
  4.9186373E-01  8.7021785E+00  6.2762383E-03  3.3865688E-02  2.0751258E-02  1.9886889E+00
  5.4651525E-01  8.5709191E+00  6.2306098E-03  3.3044862E-02  2.0357190E-02  1.9860735E+00
  6.0116678E-01  8.4299416E+00  6.1810905E-03  3.2169971E-02  1.9936261E-02  1.9831992E+00
  6.5581830E-01  8.2802720E+00  6.1279194E-03  3.1248821E-02  1.9492019E-02  1.9800705E+00
  7.1046983E-01  8.1229513E+00  6.0713440E-03  3.0289213E-02  1.9028019E-02  1.9766923E+00
  7.6512135E-01  7.9590212E+00  6.0116172E-03  2.9298821E-02  1.8547767E-02  1.9730700E+00
  8.1977288E-01  7.7895103E+00  5.9489945E-03  2.8285082E-02  1.8054672E-02  1.9692090E+00
  8.7442440E-01  7.6154224E+00  5.8837319E-03  2.7255100E-02  1.7552004E-02  1.9651150E+00
  9.2907593E-01  7.4377259E+00  5.8160832E-03  2.6215576E-02  1.7042856E-02  1.9607941E+00
  9.8372745E-01  7.2573451E+00  5.7462979E-03  2.5172743E-02  1.6530124E-02  1.9562524E+00
  1.0383790E+00  7.0751530E+00  5.6746195E-03  2.4132324E-02  1.6016477E-02  1.9514962E+00
  1.0930305E+00  6.8919662E+00  5.6012838E-03  2.3099506E-02  1.5504353E-02  1.9465319E+00
  1.1476820E+00  6.7085408E+00  5.5265176E-03  2.2078925E-02  1.4995945E-02  1.9413660E+00
  1.2023336E+00  6.5255700E+00  5.4505376E-03  2.1074662E-02  1.4493202E-02  1.9360051E+00
  1.2569851E+00  6.3436829E+00  5.3735494E-03  2.0090259E-02  1.3997834E-02  1.9304559E+00
  1.3116366E+00  6.1634451E+00  5.2957470E-03  1.9128730E-02  1.3511316E-02  1.9247251E+00
  1.3662881E+00  5.9853589E+00  5.2173125E-03  1.8192591E-02  1.3034896E-02  1.9188193E+00
  1.4209397E+00  5.8098659E+00  5.1384155E-03  1.7283888E-02  1.2569616E-02  1.9127452E+00
  1.4755912E+00  5.6373490E+00  5.0592133E-03  1.6404233E-02  1.2116318E-02  1.9065095E+00
  1.5302427E+00  5.4681358E+00  4.9798510E-03  1.5554837E-02  1.1675664E-02  1.9001187E+00
  1.5848942E+00  5.3025016E+00  4.9004615E-03  1.4736555E-02  1.1248150E-02  1.8935793E+00
  1.6395458E+00  5.1406735E+00  4.8211660E-03  1.3949915E-02  1.0834125E-02  1.8868979E+00
  1.6941973E+00  4.9828339E+00  4.7420740E-03  1.3195162E-02  1.0433805E-02  1.8800808E+00
  1.7488488E+00  4.8291244E+00  4.6632843E-03  1.2472293E-02  1.0047287E-02  1.8731342E+00
  1.8035003E+00  4.6796494E+00  4.5848852E-03  1.1781085E-02  9.6745703E-03  1.8660644E+00
  1.8581519E+00  4.5344803E+00  4.5069550E-03  1.1121136E-02  9.3155627E-03  1.8588772E+00
  1.9128034E+00  4.3936589E+00  4.4295625E-03  1.0491888E-02  8.9700989E-03  1.8515788E+00
  1.9674549E+00  4.2572004E+00  4.3527680E-03  9.8926552E-03  8.6379504E-03  1.8441748E+00
  2.0221064E+00  4.1250972E+00  4.2766233E-03  9.3226500E-03  8.3188367E-03  1.8366710E+00
  2.0767580E+00  3.9973217E+00  4.2011727E-03  8.7810032E-03  8.0124353E-03  1.8290728E+00
  2.1314095E+00  3.8738289E+00  4.1264532E-03  8.2667838E-03  7.7183901E-03  1.8213857E+00
  2.1860610E+00  3.7545594E+00  4.0524956E-03  7.7790159E-03  7.4363194E-03  1.8136150E+00
  2.2407125E+00  3.6394411E+00  3.9793242E-03  7.3166937E-03  7.1658224E-03  1.8057658E+00
  2.2953641E+00  3.5283918E+00  3.9069583E-03  6.8787940E-03  6.9064857E-03  1.7978430E+00
  2.3500156E+00  3.4213210E+00  3.8354117E-03  6.4642870E-03  6.6578876E-03  1.7898516E+00
  2.4046671E+00  3.3181314E+00  3.7646938E-03  6.0721457E-03  6.4196032E-03  1.7817964E+00
  2.4593186E+00  3.2187207E+00  3.6948098E-03  5.7013535E-03  6.1912072E-03  1.7736818E+00
  2.5139702E+00  3.1229825E+00  3.6257610E-03  5.3509102E-03  5.9722779E-03  1.7655126E+00
  2.5686217E+00  3.0308079E+00  3.5575454E-03  5.0198376E-03  5.7623991E-03  1.7572930E+00
  2.6232732E+00  2.9420864E+00  3.4901577E-03  4.7071832E-03  5.5611623E-03  1.7490273E+00
  2.6779247E+00  2.8567066E+00  3.4235900E-03  4.4120235E-03  5.3681685E-03  1.7407198E+00
