  0.000000000000E+00  1.204677905001E+00  6.521332855297E-01  1.529346000000E-01  1.165711313031E+35  9.131422169302E+14  8.480937327372E+14  0.000000000000E+00
  2.823024115009E-01  1.204462734406E+00  6.524655160444E-01  1.525181749854E-01  1.160943835808E+35  9.117132635455E+14  8.469313405498E+14  4.096331578698E-01
  5.646048230019E-01  1.204033549009E+00  6.531282387258E-01  1.516884692080E-01  1.151464393617E+35  9.088625278198E+14  8.446106212232E+14  8.190531039125E-01
  8.469072345028E-01  1.203321067557E+00  6.542287010789E-01  1.503144417358E-01  1.135823357051E+35  9.041308830238E+14  8.407534946716E+14  1.228087776390E+00
  1.129209646004E+00  1.202329429551E+00  6.557609535475E-01  1.484089658020E-01  1.114251478187E+35  8.975466646788E+14  8.353753851479E+14  1.636543155796E+00
  1.411512057505E+00  1.201064384131E+00  6.577167091656E-01  1.459897286487E-01  1.087063515798E+35  8.891487121115E+14  8.284975203270E+14  2.044232040774E+00
  1.693814469006E+00  1.199533187782E+00  6.600854896211E-01  1.430787834060E-01  1.054648954768E+35  8.789851273488E+14  8.201462094554E+14  2.450972174050E+00
  1.976116880507E+00  1.197744511120E+00  6.628547462231E-01  1.397020798936E-01  1.017461703168E+35  8.671120146284E+14  8.103521593407E+14  2.856587336171E+00
  2.258419292007E+00  1.195708329948E+00  6.660100024763E-01  1.358889306814E-01  9.760085256054E+34  8.535920285826E+14  7.991496697180E+14  3.260908354125E+00
  2.540721703508E+00  1.193435804282E+00  6.695350134513E-01  1.316714343469E-01  9.308367343615E+34  8.384927813394E+14  7.865757290494E+14  3.663774012197E+00
  2.823024115009E+00  1.190939148785E+00  6.734119377028E-01  1.270838771056E-01  8.825216447952E+34  8.218851537891E+14  7.726690276642E+14  4.065031856756E+00
  3.105326526510E+00  1.188231498034E+00  6.776215175086E-01  1.221621329725E-01  8.316542670398E+34  8.038415508255E+14  7.574689016334E+14  4.464538889595E+00
  3.387628938011E+00  1.185326769941E+00  6.821432632434E-01  1.169430808023E-01  7.788296494581E+34  7.844341322231E+14  7.410142157881E+14  4.862162147437E+00
  3.669931349512E+00  1.182239530505E+00  6.869556378335E-01  1.114640540540E-01  7.246362163002E+34  7.637330397683E+14  7.233421873334E+14  5.257779167989E+00
  3.952233761013E+00  1.178984862818E+00  6.920362374643E-01  1.057623361719E-01  6.696463596405E+34  7.418046273122E+14  7.044871421704E+14  5.651278345525E+00
  4.234536172514E+00  1.175578242948E+00  6.973619650030E-01  9.987471130693E-02  6.144084610546E+34  7.187096833020E+14  6.844791836557E+14  6.042559181290E+00
  4.516838584015E+00  1.172035425009E+00  7.029091929241E-01  9.383707695795E-02  5.594404378667E+34  6.945016142415E+14  6.633427369333E+14  6.431532436014E+00
  4.799140995516E+00  1.168372337396E+00  7.086539128550E-01  8.768412218055E-02  5.052248371955E+34  6.692245306959E+14  6.410949091419E+14  6.818120193488E+00
  5.081443407017E+00  1.164604991913E+00  7.145718691522E-01  8.144907245187E-02  4.522054420970E+34  6.429111415610E+14  6.177435731932E+14  7.202255845530E+00
  5.363745818518E+00  1.160749407255E+00  7.206386741300E-01  7.516350019555E-02  4.007853102590E+34  6.155803113671E+14  5.932850343119E+14  7.583884009754E+00
  5.646048230019E+00  1.156821548267E+00  7.268299026457E-01  6.885719844036E-02  3.513261384779E+34  5.872340586052E+14  5.677010632507E+14  7.962960392429E+00
  5.928350641520E+00  1.152837282384E+00  7.331211636232E-01  6.255811415671E-02  3.041488367710E+34  5.578536506627E+14  5.409549581916E+14  8.339451609432E+00
  6.210653053020E+00  1.148812357264E+00  7.394881427322E-01  5.629234039663E-02  2.595352262367E+34  5.273942596516E+14  5.129861043004E+14  8.713334980847E+00
  6.492955464521E+00  1.144762377563E+00  7.459066438759E-01  5.007370842013E-02  2.177282061364E+34  4.958799613215E+14  4.837974026800E+14  9.084598307356E+00
  6.775257876022E+00  1.140702794466E+00  7.523526116832E-01  4.392810430050E-02  1.789306171786E+34  4.631408994870E+14  4.532113652609E+14  9.453239630297E+00
  7.057560287523E+00  1.136648977466E+00  7.588020433274E-01  3.788369495481E-02  1.433275330309E+34  4.289089949421E+14  4.209552100213E+14  9.819267008891E+00
  7.339862699024E+00  1.132616350633E+00  7.652308093980E-01  3.196004996235E-02  1.110847340584E+34  3.928924277691E+14  3.867279172665E+14  1.018269836695E+01
  7.622165110525E+00  1.128620555230E+00  7.716144307303E-01  2.617567209281E-02  8.235653844067E+33  3.546434524941E+14  3.500731778252E+14  1.054356143526E+01
  7.904467522026E+00  1.124677688581E+00  7.779277416753E-01  2.054837438958E-02  5.729920543845E+33  3.134425605505E+14  3.102628117155E+14  1.090189381673E+01
  8.186769933527E+00  1.120804702257E+00  7.841443211995E-01  1.509583858713E-02  3.609401901819E+33  2.680366556668E+14  2.660336625354E+14  1.125774324407E+01
  8.469072345028E+00  1.117020106525E+00  7.902354772802E-01  9.836520095171E-03  1.899518566090E+33  2.159166286749E+14  2.148625142414E+14  1.161116819605E+01
  8.751374756529E+00  1.113344515832E+00  7.961694416876E-01  4.790312201898E-03  6.461251839344E+32  1.504346277076E+14  1.500760684945E+14  1.196223823081E+01
  9.033677168030E+00  1.109818623120E+00  8.018854558633E-01  1.000000000000E-14  2.015278098679E+15  2.242299289459E+08  2.242299289459E+08  1.233264311844E+01
